"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that Admin is not able to authenticate with wrong password.","5","userFailedPasswordAuthResponseValidation()","","Thu Dec 04 04:20:28 UTC 2025","broken","Thu Dec 04 04:20:28 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Partially update booking with valid date api.","18","partialUpdateBookingResponseValidation()","","Thu Dec 04 04:20:28 UTC 2025","broken","Thu Dec 04 04:20:28 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Update booking with valid date api.","4","fullUpdateBookingResponseValidation()","","Thu Dec 04 04:20:28 UTC 2025","broken","Thu Dec 04 04:20:28 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Check that Admin is able to authenticate.","4","userAuthResponseValidation()","","Thu Dec 04 04:20:28 UTC 2025","broken","Thu Dec 04 04:20:28 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"Create new valid booking with api.","2","createNewBookingResponseValidation()","","Thu Dec 04 04:20:29 UTC 2025","broken","Thu Dec 04 04:20:29 UTC 2025","","com.flamingo.qa.api.suites.CreateBookingTests","com.flamingo.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Search booking by id api.","2","searchBookingResponseValidation()","","Thu Dec 04 04:20:29 UTC 2025","broken","Thu Dec 04 04:20:29 UTC 2025","","com.flamingo.qa.api.suites.GetBookingTests","com.flamingo.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
