"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Partially update booking with valid date api.","2802","partialUpdateBookingResponseValidation()","","Mon Dec 01 21:57:51 UTC 2025","passed","Mon Dec 01 21:57:54 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Check that Admin is not able to authenticate with wrong password.","417","userFailedPasswordAuthResponseValidation()","","Mon Dec 01 21:57:52 UTC 2025","passed","Mon Dec 01 21:57:52 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","909515","Check that student submission success pop-up data corresponds submitted data","","Mon Dec 01 21:57:57 UTC 2025","broken","Mon Dec 01 22:13:06 UTC 2025","","Validate created Student data","Check that student submission success pop-up data corresponds submitted data",""
"Update booking with valid date api.","478","fullUpdateBookingResponseValidation()","","Mon Dec 01 21:57:54 UTC 2025","passed","Mon Dec 01 21:57:54 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Check that Admin is able to authenticate.","568","userAuthResponseValidation()","","Mon Dec 01 21:57:51 UTC 2025","passed","Mon Dec 01 21:57:52 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"Search booking by id api.","1328","searchBookingResponseValidation()","","Mon Dec 01 21:57:52 UTC 2025","passed","Mon Dec 01 21:57:54 UTC 2025","","com.flamingo.qa.api.suites.GetBookingTests","com.flamingo.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Create new valid booking with api.","497","createNewBookingResponseValidation()","","Mon Dec 01 21:57:54 UTC 2025","passed","Mon Dec 01 21:57:55 UTC 2025","","com.flamingo.qa.api.suites.CreateBookingTests","com.flamingo.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
