"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that Admin is not able to authenticate with wrong password.","388","userFailedPasswordAuthResponseValidation()","","Mon Dec 01 21:19:36 UTC 2025","passed","Mon Dec 01 21:19:36 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","40109","Check that student submission success pop-up data corresponds submitted data","","Mon Dec 01 21:19:40 UTC 2025","broken","Mon Dec 01 21:20:20 UTC 2025","","Validate created Student data","Check that student submission success pop-up data corresponds submitted data",""
"Update booking with valid date api.","473","fullUpdateBookingResponseValidation()","","Mon Dec 01 21:19:35 UTC 2025","passed","Mon Dec 01 21:19:35 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Create new valid booking with api.","454","createNewBookingResponseValidation()","","Mon Dec 01 21:19:37 UTC 2025","passed","Mon Dec 01 21:19:37 UTC 2025","","com.flamingo.qa.api.suites.CreateBookingTests","com.flamingo.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Partially update booking with valid date api.","2206","partialUpdateBookingResponseValidation()","","Mon Dec 01 21:19:33 UTC 2025","passed","Mon Dec 01 21:19:35 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Search booking by id api.","418","searchBookingResponseValidation()","","Mon Dec 01 21:19:36 UTC 2025","passed","Mon Dec 01 21:19:37 UTC 2025","","com.flamingo.qa.api.suites.GetBookingTests","com.flamingo.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Check that Admin is able to authenticate.","413","userAuthResponseValidation()","","Mon Dec 01 21:19:35 UTC 2025","passed","Mon Dec 01 21:19:36 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
