"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that Admin is able to authenticate.","4","userAuthResponseValidation()","","Fri Dec 05 04:19:20 UTC 2025","broken","Fri Dec 05 04:19:20 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"Check that Admin is not able to authenticate with wrong password.","3","userFailedPasswordAuthResponseValidation()","","Fri Dec 05 04:19:20 UTC 2025","broken","Fri Dec 05 04:19:20 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Partially update booking with valid date api.","15","partialUpdateBookingResponseValidation()","","Fri Dec 05 04:19:20 UTC 2025","broken","Fri Dec 05 04:19:20 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Update booking with valid date api.","4","fullUpdateBookingResponseValidation()","","Fri Dec 05 04:19:20 UTC 2025","broken","Fri Dec 05 04:19:20 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Search booking by id api.","3","searchBookingResponseValidation()","","Fri Dec 05 04:19:20 UTC 2025","broken","Fri Dec 05 04:19:20 UTC 2025","","com.flamingo.qa.api.suites.GetBookingTests","com.flamingo.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Create new valid booking with api.","3","createNewBookingResponseValidation()","","Fri Dec 05 04:19:21 UTC 2025","broken","Fri Dec 05 04:19:21 UTC 2025","","com.flamingo.qa.api.suites.CreateBookingTests","com.flamingo.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
