"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that Admin is not able to authenticate with wrong password.","3","userFailedPasswordAuthResponseValidation()","","Sat Dec 06 04:01:56 UTC 2025","broken","Sat Dec 06 04:01:56 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Check that Admin is able to authenticate.","2","userAuthResponseValidation()","","Sat Dec 06 04:01:56 UTC 2025","broken","Sat Dec 06 04:01:56 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"Create new valid booking with api.","3","createNewBookingResponseValidation()","","Sat Dec 06 04:01:56 UTC 2025","broken","Sat Dec 06 04:01:56 UTC 2025","","com.flamingo.qa.api.suites.CreateBookingTests","com.flamingo.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Search booking by id api.","3","searchBookingResponseValidation()","","Sat Dec 06 04:01:56 UTC 2025","broken","Sat Dec 06 04:01:56 UTC 2025","","com.flamingo.qa.api.suites.GetBookingTests","com.flamingo.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Update booking with valid date api.","4","fullUpdateBookingResponseValidation()","","Sat Dec 06 04:01:56 UTC 2025","broken","Sat Dec 06 04:01:56 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Partially update booking with valid date api.","21","partialUpdateBookingResponseValidation()","","Sat Dec 06 04:01:55 UTC 2025","broken","Sat Dec 06 04:01:55 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
