"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search booking by id api.","3","searchBookingResponseValidation()","","Wed Dec 03 04:18:41 UTC 2025","broken","Wed Dec 03 04:18:41 UTC 2025","","com.flamingo.qa.api.suites.GetBookingTests","com.flamingo.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Create new valid booking with api.","2","createNewBookingResponseValidation()","","Wed Dec 03 04:18:41 UTC 2025","broken","Wed Dec 03 04:18:41 UTC 2025","","com.flamingo.qa.api.suites.CreateBookingTests","com.flamingo.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Update booking with valid date api.","5","fullUpdateBookingResponseValidation()","","Wed Dec 03 04:18:41 UTC 2025","broken","Wed Dec 03 04:18:41 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Check that Admin is able to authenticate.","3","userAuthResponseValidation()","","Wed Dec 03 04:18:41 UTC 2025","broken","Wed Dec 03 04:18:41 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"Check that Admin is not able to authenticate with wrong password.","3","userFailedPasswordAuthResponseValidation()","","Wed Dec 03 04:18:41 UTC 2025","broken","Wed Dec 03 04:18:41 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Partially update booking with valid date api.","16","partialUpdateBookingResponseValidation()","","Wed Dec 03 04:18:41 UTC 2025","broken","Wed Dec 03 04:18:41 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
