"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new valid booking with api.","148","createNewBookingResponseValidation()","","Mon Dec 01 21:11:59 UTC 2025","passed","Mon Dec 01 21:11:59 UTC 2025","","com.flamingo.qa.api.suites.CreateBookingTests","com.flamingo.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Check that Admin is not able to authenticate with wrong password.","85","userFailedPasswordAuthResponseValidation()","","Mon Dec 01 21:11:59 UTC 2025","passed","Mon Dec 01 21:11:59 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Search booking by id api.","139","searchBookingResponseValidation()","","Mon Dec 01 21:11:59 UTC 2025","passed","Mon Dec 01 21:11:59 UTC 2025","","com.flamingo.qa.api.suites.GetBookingTests","com.flamingo.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Check that Admin is able to authenticate.","112","userAuthResponseValidation()","","Mon Dec 01 21:11:59 UTC 2025","passed","Mon Dec 01 21:11:59 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"Partially update booking with valid date api.","1454","partialUpdateBookingResponseValidation()","","Mon Dec 01 21:11:57 UTC 2025","passed","Mon Dec 01 21:11:59 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Update booking with valid date api.","170","fullUpdateBookingResponseValidation()","","Mon Dec 01 21:11:59 UTC 2025","passed","Mon Dec 01 21:11:59 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
