"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Partially update booking with valid date api.","15","partialUpdateBookingResponseValidation()","","Tue Dec 02 04:20:25 UTC 2025","broken","Tue Dec 02 04:20:25 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Create new valid booking with api.","3","createNewBookingResponseValidation()","","Tue Dec 02 04:20:26 UTC 2025","broken","Tue Dec 02 04:20:26 UTC 2025","","com.flamingo.qa.api.suites.CreateBookingTests","com.flamingo.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"Check that Admin is not able to authenticate with wrong password.","3","userFailedPasswordAuthResponseValidation()","","Tue Dec 02 04:20:25 UTC 2025","broken","Tue Dec 02 04:20:25 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"Search booking by id api.","3","searchBookingResponseValidation()","","Tue Dec 02 04:20:26 UTC 2025","broken","Tue Dec 02 04:20:26 UTC 2025","","com.flamingo.qa.api.suites.GetBookingTests","com.flamingo.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Update booking with valid date api.","4","fullUpdateBookingResponseValidation()","","Tue Dec 02 04:20:25 UTC 2025","broken","Tue Dec 02 04:20:25 UTC 2025","","com.flamingo.qa.api.suites.UpdateBookingTests","com.flamingo.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Check that Admin is able to authenticate.","4","userAuthResponseValidation()","","Tue Dec 02 04:20:25 UTC 2025","broken","Tue Dec 02 04:20:25 UTC 2025","","com.flamingo.qa.api.suites.AuthenticationTests","com.flamingo.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
